"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"ficar";-0,423930921771039;-0,170197550488909;0,114130992355524;-0,825367866509312;-0,446133685830395;-0,179111399097071;0,12010843671024;-0,86859530537063;0,284889490809227;0,0348123538175369;0,0137346009594359;0,666563554413802;0,00045009307351733;7,25468816524181e-05;3,26226566802976e-05;0,00170611087935893;0,00250444869175509;0,425604532890523;0,000453653878589896
"americano";1,08286106853999;-1,07919849968938;-0,520231546903941;0,294173117049435;0,659688311609709;-0,657457043045891;-0,316929549684418;0,179212802588756;0,512274056216569;0,385744806426169;0,0786453177583457;0,0233358195989193;0,00289804610268136;0,00287847509160634;0,000668887651735157;0,000213877832649889;0,00247149541949516;0,81072006722575;0,00162443244761054
"vir";-0,052288604655489;0,45397032853675;0,600531542483023;-0,605233956408404;-0,0540533512932306;0,469291881219178;0,620799553600116;-0,625660674555811;0,00437484665525629;0,250002416378923;0,383833607202208;0,361789129763614;6,66721363884972e-06;0,000502556856923173;0,000879431288481542;0,000893257843117479;0,00243854214723522;0,423618578918106;0,00043760297337178
"ministro";-1,48955510982181;-0,0729796796969421;1,66671640035545;0,344187489060278;-0,658263851976002;-0,0322511632879636;0,736554928794007;0,152103256104347;0,535457736569941;0,00097444311722688;0,445921164342708;0,0176466559701267;0,00365579388584373;8,77551184450713e-06;0,00457711652147538;0,00019519051543139;0,00164766361299677;1,09079550738811;0,00196044756959415
"meio";-0,116896595658003;0,317298531152801;0,136841867954432;-0,541712170694157;-0,178991201096382;0,485845159796743;0,20953125424709;-0,829465661812346;0,0481868126020974;0,26915418464698;0,043922300802821;0,638736701948103;3,37725253981511e-05;0,000248826100322263;4,62804739304804e-05;0,000725265461374256;0,00247149541949516;0,285356077985003;0,000201249154525266
"medida";-0,867504864523071;-0,118174694216336;-0,68484542760834;0,628567849998173;-0,679348738284202;-0,0925433766381537;-0,536306937507735;0,492235598075907;0,570560509971643;0,00802689138747766;0,236518771339157;0,184893827301721;0,00183516071501576;3,40548710911227e-05;0,00114370860142977;0,000963462008561198;0,00243854214723522;0,615418330522164;0,000923572773813975
"liberal";0,120660335047823;1,24018818781569;1,36480911917223;1,07425735744537;0,0564464862160812;0,580176289259754;0,638475594340119;0,502551671976795;0,00464856834694888;0,372311017380362;0,395600306311172;0,227440107961519;3,69418232039373e-05;0,00390269356990087;0,00472642861486609;0,00292823512133277;0,00253740196401503;0,948318625476273;0,00228190643207477
"dia";-0,17183563282702;-0,897125610207751;0,223074081145953;-0,192448785131431;-0,179038153739036;-0,934728788674997;0,232424270672708;-0,200515309964476;0,0424457483324976;0,8771114708067;0,0475804547083862;0,0328623261524191;6,61658525082795e-05;0,00180349095476711;0,000111507912284306;8,29923012292335e-05;0,00224082251367561;0,446936159808692;0,000447608624010702
"precisar";0,205230956933764;-0,123467176367234;0,0314285511567797;-0,40953270182435;0,431640983842207;-0,25967570524252;0,0661004116763233;-0,861327652377858;0,266822427528005;0,0732116446419317;0,0041620561332189;0,655803871696846;0,000102710775081137;3,7173486764886e-05;2,40867934021814e-06;0,000408985055885549;0,00243854214723522;0,212902650649207;0,000110533113436891
"passar";0,284357686348091;0,171662266634667;-0,236036792571914;-0,33703355377679;0,537738799607912;0,324624462885452;-0,446360860263677;-0,63735227615287;0,384363487169818;0,106194593364315;0,176154690251433;0,333287229214434;0,000162539277693917;5,92349555445606e-05;0,000111992203727208;0,000228336143104731;0,00201014960785606;0,245778151378114;0,000121426905733389
"forma";0,18181602329807;0,679423807202275;0,455717472334231;-1,00378747388622;0,139040567066826;0,519577261225409;0,348501824130947;-0,767628600890197;0,0289190030373548;0,306154797207672;0,1208461971982;0,544080002556775;8,06110495045934e-05;0,00112567180269885;0,000506432567050413;0,00245704895742718;0,00243854214723522;0,572914560624927;0,000800405356206022
"deixar";0,340953807505077;0,660409526702886;-0,285035373264191;-0,0745857378627988;0,426459400552411;0,826029346724982;-0,35651754502454;-0,0932906110991437;0,23048325578089;0,655564593751329;0,107144142048605;0,0068080084191781;0,000256663692845779;0,000962941731309407;0,00017937869863555;1,22824478876971e-05;0,00220786924141567;0,380561822679138;0,00031975974293212
"fiscal";-2,14732996577957;-0,137712955938507;-1,16799129992586;0,207442816826568;-0,873936806660927;-0,0560474742432251;-0,475358050756943;0,0844266674387612;0,82941492078235;0,0025862137422497;0,163221028920161;0,00477783655523747;0,0103324908314629;4,24968812978926e-05;0,003056938311994;9,6428244684637e-05;0,00224082251367561;1,26346212223881;0,0035771068455345
"democrático";1,08006048601127;1,21030907729727;0,155085478652349;1,44355811417641;0,496125356630707;0,555954995469787;0,0712384532173672;0,663097848212042;0,325907924969302;0,310264356839338;0,00446954852180868;0,359358169669552;0,00292151616890727;0,00366863681396892;6,02357619571259e-05;0,0052189205234412;0,00250444869175509;1,01379461717069;0,00257402108881315
"chegar";-0,10255353168161;-0,690559175667627;-0,741961115584082;0,106162188586854;-0,100121773922249;-0,674184579822975;-0,724367672721796;0,103644862058809;0,0141137862342802;0,485159605156725;0,491391008676843;0,00933559993215258;2,35672387301533e-05;0,00106858545794224;0,00123358690432468;2,52549891062235e-05;0,00224082251367561;0,462570803028603;0,000479472709793311
"eua";1,16843721195336;-2,54239360301479;-0,402746558733729;0,667948559694695;0,402255333810997;-0,875264307741404;-0,138652680492628;0,229953195687239;0,205335140913461;0,737018917470424;0,0162270217658523;0,0414189198502645;0,00305927289405061;0,0144841506564369;0,000363472146539464;0,000999754792429933;0,00224082251367561;1,3817297335543;0,0042781269309954
"grupo";0,176766012378936;0,0314521768461232;0,569238838523974;-0,509796424634683;0,225191380439375;0,0400685574476749;0,725182845512869;-0,649456075076467;0,0765939428918183;0,00183839510371005;0,528334007069568;0,393233654934904;5,97205872825517e-05;1,89072322035421e-06;0,000619320688277833;0,000496729680520587;0,00191128979107625;0,342255877867071;0,000223886739082728
