petróleo;4;14;0;1;0
pesquisador;0;0;4;4;4
neoliberal;0;2;17;0;0
milícia;3;1;10;2;1
manaus;0;7;0;3;1
liderar;2;2;0;4;7
koch;0;1;0;7;8
investir;6;2;0;1;0
indústria;2;5;0;3;2
escola;1;3;1;12;2
ditadura;0;3;9;1;4
dinheiro;6;5;0;5;4
dilma;10;8;0;1;1
despesa;2;17;0;0;0
corte;1;2;5;3;6
confiança;8;4;1;2;5
ciência;0;3;3;11;1
cidade;1;2;0;9;2
aprovação;4;10;2;0;3
apoiador;1;0;3;8;7
senador;0;1;0;0;13
rico;0;6;3;5;3
popular;1;8;4;5;1
pec;0;18;0;0;0
negro;1;1;1;10;3
mundial;1;5;0;4;8
membro;9;1;1;1;7
local;0;2;6;1;6
fundamental;0;3;8;6;1
evento;1;1;4;7;6
estimular;2;4;2;0;7
equipa;12;6;0;0;1
diverso;6;1;6;3;1
cultural;0;0;1;16;0
controlar;1;9;2;3;2
consequência;0;8;1;6;1
conhecido;1;1;0;5;9
combate;0;6;1;6;1
clima;3;2;2;4;7
ciclo;0;1;1;12;2
centrão;3;6;2;1;6
carta;3;1;5;0;9
ativo;8;4;2;2;0
atingir;2;7;0;5;4
acusar;4;0;3;5;2
índio;0;1;0;3;5
votar;1;2;3;0;10
vitória;1;0;1;5;9
vencer;1;1;1;5;5
tradicional;1;0;1;5;7
seguidor;0;0;0;12;6
russo;3;3;0;2;5
resultar;6;6;3;0;1
repetir;1;3;1;2;10
proteção;0;2;8;4;3
proteger;1;4;3;7;1
privado;3;6;1;4;2
popularidade;4;8;0;4;2
pauta;4;1;4;6;0
parlamento;3;1;2;2;9
palavra;1;1;1;7;4
objectivo;3;1;3;7;1
negócio;1;2;0;6;7
morrer;0;1;2;10;1
menor;4;10;0;0;3
ler;0;2;0;12;3
jornalismo;1;0;3;12;1
jogar;10;4;1;3;0
joe;1;0;0;1;16
institucional;2;1;6;5;2
inquérito;3;1;2;0;2
informação;1;0;10;3;0
incerteza;7;10;1;0;0
imagem;1;1;1;8;3
histórico;0;1;3;4;6
governar;1;1;3;7;6
fácil;1;2;1;10;1
funcionar;2;0;4;8;3
especialista;0;3;7;2;4
envolver;1;5;1;6;3
eleger;3;1;6;3;2
devido;1;2;4;4;5
coalizão;0;1;1;1;15
candidatura;5;0;0;3;6
busca;5;1;3;5;2
bannon;0;0;0;3;1
autoridade;2;3;5;2;3
ascensão;2;1;1;11;3
amplo;1;4;1;4;6
vacinar;6;3;3;2;2
universidade;1;1;1;7;2
suposto;1;1;8;1;3
saída;5;0;1;1;8
renda;0;12;0;3;1
qualidade;0;1;1;12;1
pessoal;2;1;4;2;7
pergunta;2;0;0;7;3
oxigênio;0;2;0;2;0
narrativa;0;0;2;11;2
mulher;1;0;1;9;4
indicar;2;3;0;8;3
homem;1;0;0;10;4
funcionário;4;2;0;2;8
exército;1;2;2;1;1
exigir;1;7;1;1;3
estrutura;0;3;4;8;1
escolha;5;0;2;3;5
direção;2;3;1;4;6
diretor;5;1;0;8;2
direto;2;6;2;3;2
diesel;3;13;0;0;0
destacar;2;1;8;0;2
cercar;0;5;0;3;1
avaliar;3;3;0;6;2
atenção;3;5;2;1;4
armado;0;0;11;0;1
argumento;0;4;4;6;1
aprender;1;0;0;1;4
aliado;2;5;0;0;9
agência;8;2;1;2;2
adversário;1;0;2;6;5
veículo;2;0;9;3;1
tributário;3;12;1;0;0
